Edge Name,Interface Name,ISP Name
"TR263 West Haven, CT",GE2,Frontier Communications
"TR264 St. George, UT",GE1,TDS Telecom
"TR265 San Marcos, TX",GE2,Grande Communications
"TR266 Manchester, CT",GE1,Cox Business
"TR266 Manchester, CT",GE2,Frontier Communications
"TR267 Montgomery, AL",GE2,AT&T U-verse
"TR270 Grand Forks, ND",GE1,Midco
"TR271 Eau Claire, WI",GE2,AT&T Internet Services
"TR278 Warwick, RI",GE1,Cox Business
"TR278 Warwick, RI",GE2,Verizon Fios Business
"TR279 Turnersville, NJ",GE2,Verizon Fios Business
"TR280 Matthews, NC",GE1,Spectrum Business
"TR282 Rockford, IL",GE2,AT&T Internet
"TR285 Ocoee, FL",GE1,Spectrum
"TR285 Ocoee, FL",GE2,AT&T Internet Services
"TR286 Camp Hill, PA",GE2,Verizon Fios Business
"TR287 Stroudsburg, PA",GE1,PenTeleData
"TR287 Stroudsburg, PA",GE2,Verizon Fios
"TR292 Houston, TX",GE2,AT&T Internet
"TR293 Bridgeville, PA",GE2,Verizon Fios Business
"TR294 Wake Forest, NC",GE2,CenturyLink
"TR295 Covington, LA",GE1,Spectrum Business
"TR296 Sierra Vista, AZ",GE1,Cox Business
"TR298 Pocatello, ID",GE1,Sparklight
"TR299 Stillwater, OK",GE1,Suddenlink Communications
"TR299 Stillwater, OK",GE2,AT&T Internet Services
"TR300 Coralville, IA",GE1,Mediacom Cable
"TR301 Worcester, MA",GE1,Spectrum Business
"TR305 Muskegon, MI",GE1,Comcast Business
"TR308 South Bend, IN",GE2,AT&T U-verse
"TR310 St. Joseph, MO",GE2,AT&T Internet Services
"TR317 Mansfield, TX",GE2,AT&T Internet Services
"TR319 Gilbert-E, AZ",GE1,Cox Business
"TR321 Brooksville, FL",GE1,Spectrum Business
"TR322 San Antonio-N, TX",GE2,AT&T U-verse
"TR323 Papillion, NE",GE1,Cox Business
"TR325 Wesley Chapel, FL",GE1,Spectrum Business
"TR326 Virginia Beach, VA",GE1,Cox Business
"TR327 Lawton, OK",GE1,Fidelity Communication International
"TR328 Palmyra, PA",GE2,Verizon Fios Business
"TR329 Greenville, NC",GE1,Suddenlink Communications
"TR329 Greenville, NC",GE2,CenturyLink
"TR330 Lincoln, NE",GE2,Windstream Communications
"TR331 Prescott, AZ",GE1,Sparklight
"TR331 Prescott, AZ",GE2,CenturyLink
"TR334 Council Bluffs, IA",GE1,Cox Business
"TR335 Coeur d'Alene, ID",GE2,Ziply Fiber
"TR338 Menifee, CA",GE1,Mediacom Cable
"TR338 Menifee, CA",GE2,Frontier Communications
"TR344 Dyer, IN",GE2,AT&T Internet
"TR350 Arnold, MO",GE1,Spectrum Business
"TR350 Arnold, MO",GE2,AT&T Internet Services
"TR351 Flower Mound, TX",GE2,Frontier Communications
"TR355 Reno-S, NV",GE1,Spectrum Business
"TR360 Phoenix-Metro, AZ",GE1,Cox Business
"TR362 Alexandria, LA",GE1,Suddenlink Communications
"TR362 Alexandria, LA",GE2,AT&T Internet Services
"TR363 Leominster, MA",GE2,Verizon Fios Business
"TR364 Rapid City, SD",GE1,Midco
"TR364 Rapid City, SD",GE2,CenturyLink
"TR366 Canton, OH",GE1,Spectrum Business
"TR367 Orange City, FL",GE2,CenturyLink
"TR369 Pearland, TX",GE2,AT&T Internet Services
"TR370 Dubuque, IA",GE1,Mediacom Cable
"TR370 Dubuque, IA",GE2,CenturyLink
"TR371 Tucson-S, AZ",GE1,Cox Business
"TR373 Lexington Park, MD",GE1,Atlantic Broadband
"TR385 Colonial Heights, VA",GE2,Verizon Fios Business
"TR388 East Meadow, NY",GE1,Optimum Online
"TR388 East Meadow, NY",GE2,Verizon Fios Business
"TR389 Old Bridge, NJ",GE1,Optimum Online
"TR390 St. Charles, MO",GE1,Spectrum Business
"TR390 St. Charles, MO",GE2,AT&T Internet
"TR391 Middletown, NY",GE1,Spectrum Business
"TR391 Middletown, NY",GE2,Frontier Communications
"TR395 Macon, GA",GE1,Cox Business
"TR396 Columbia, MO",GE1,Mediacom Cable
"TR397 Hamilton, NJ",GE1,Optimum Online
"TR400 Mansfield, OH",GE2,CenturyLink
"TR402 Aberdeen, NC",GE2,Windstream Communications
"TR408 Altoona, PA",GE1,Atlantic Broadband
"TR408 Altoona, PA",GE2,Verizon Internet Services
"TR410 Ames, IA",GE1,Mediacom Cable
"TR410 Ames, IA",GE2,CenturyLink
"TR415 Deer Park, NY",GE1,Optimum Online
"TR416 Chambersburg, PA",GE2,CenturyLink
"TR417 Manhattan, KS",GE1,Cox Business
"TR418 Fort Myers, FL",GE2,CenturyLink
"TR420 Winchester, VA",GE2,Verizon Fios Business
"TR429 Albany, NY",GE1,Spectrum Business
"TR429 Albany, NY",GE2,Verizon Fios Business
"TR431 Medford, OR",GE1,Spectrum Business
"TR433 Modesto, CA",GE2,AT&T Internet Services
"TR434 Quincy, IL",GE1,Comcast Business
"TR435 Lake Jackson, TX",GE1,AT&T Internet Services
"TR437 Port Huron, MI",GE2,AT&T Internet
"TR439 Greensboro, NC",GE1,Spectrum Business
"TR439 Greensboro, NC",GE2,AT&T U-verse
"TR440 Grove City, OH",GE2,AT&T Internet Services
"TR442 Tallahassee, FL",GE2,CenturyLink
"TR444 New London, CT",GE1,Atlantic Broadband
"TR445 Lakewood Ranch, FL",GE2,Frontier Communications
"TR446 Farmington, NM",GE1,"FastTrack Communications, Inc."
"TR447 Corona, CA",GE2,AT&T Internet
"TR451 Joplin, MO",GE1,Sparklight
"TR453 New Rochelle, NY",GE2,Verizon Fios
"TR456 Anchorage-S, AK",GE1,GCI Communications
"TR459 Somerset, KY",GE2,Windstream Communications
"TR460 Clarksville, TN",GE2,AT&T Internet Services
"TR465 Crystal Lake, IL",GE2,AT&T Internet Services
"TR466 Boardman, OH",GE1,Armstrong Cable
"TR466 Boardman, OH",GE2,AT&T U-verse
"TR467 Fort Smith, AR",GE1,Cox Business
"TR467 Fort Smith, AR",GE2,AT&T U-verse
"TR468 Goodyear, AZ",GE1,Cox Business
"TR468 Goodyear, AZ",GE2,CenturyLink
"TR471 Pensacola, FL",GE1,Cox Business
"TR474 Rock Hill, SC",GE1,Comporium
"TR477 Goldsboro, NC",GE1,Spectrum Business
"TR477 Goldsboro, NC",GE2,AT&T Internet Services
"TR483 Athens, OH",GE2,Frontier Communications
"TR486 Citrus Heights, CA",GE2,Consolidated Communications
"TR494 St. Petersburg, FL",GE1,WideOpenWest
"TR494 St. Petersburg, FL",GE2,Frontier Communications
"TR498 Middletown, KY",GE2,AT&T Internet
"TR499 Middletown, DE",GE1,Verizon Fios Business
"TR507 Hadley, MA",GE2,Verizon Internet Services
"TR509 Clermont, FL",GE2,CenturyLink
"TR512 Tempe, AZ",GE1,Cox Business
"TR515 New Hartford, NY",GE2,Verizon Fios
"TR516 Spartanburg, SC",GE2,AT&T Internet Services
"TR517 Ann Arbor, MI",GE2,AT&T U-verse
"TR518 Roanoke, VA",GE1,Cox Business
"TR519 Cheektowaga, NY",GE2,Verizon Internet Services
"TR521 Kenwood, OH",GE2,Cincinnati Bell
"TR524 Hunt Valley, MD",GE2,Verizon Fios Business
"TR528 Surprise, AZ",GE1,Cox Business
"TR529 Columbia, MD",GE2,Verizon Fios Business
"TR532 North Smithfield, RI",GE1,Cox Business
"TR539 Poughkeepsie, NY",GE1,Optimum Online
"TR540 Dundalk, MD",GE1,Comcast Business
"TR541 Suffolk, VA",GE2,Verizon Fios Business
"TR545 Happy Valley, AZ",GE1,Cox Business
"TR547 Prosper, TX ",GE1,AT&T Internet
"TR553 McCandless, PA",GE2,Verizon Fios Business
"TR554 Belton, MO",GE2,AT&T Internet Services
"TR556 Oceanside, CA",GE1,Cox Business
"TR556 Oceanside, CA",GE2,AT&T Internet Services
"TR557 Tulsa-W, OK",GE1,Cox Business
"TR558 Oviedo, FL",GE2,CenturyLink
"TR560 Lawrence, KS",GE1,Midco
"TR564 Teterboro, NJ",GE1,Spectrum Business
"TR564 Teterboro, NJ",GE2,Verizon Fios Business
"TR568 Charlottesville, VA",GE2,CenturyLink
"TR574 Danbury, CT",GE2,Frontier Communications
"TR576 Howell, NJ",GE1,Optimum Online
"TR577 Plymouth, MA",GE2,Verizon Fios Business
"TR580 Mt. Pleasant, MI",GE1,Spectrum Business
"TR580 Mt. Pleasant, MI",GE2,Frontier Communications
"TR581 West Chester, OH",GE1,Spectrum Business
"TR581 West Chester, OH",GE2,Cincinnati Bell
"TR582 Benton, AR",GE2,AT&T U-verse
"TR583 Huntington, WV",GE2,Frontier Communications
"TR589 Gulfport, MS",GE1,Sparklight
"TR590 Athens, GA",GE1,Spectrum Business
"TR594 Holly Springs, NC",GE2,CenturyLink
"TR595 Irving, TX",GE1,Spectrum
"TR596 Riverview, FL",GE1,Spectrum
"TR604 Jacksonville, FL",GE2,AT&T U-verse
"TR605 Kansas City-NW, MO",GE2,AT&T Internet Services
"TR610 Morristown, TN",GE1,Spectrum Business
"TR614 Monroeville, PA",GE2,Verizon Fios Business
"TR620 Wichita-NE, KS",GE1,Cox Business
"TR624 Pleasant Hills, PA",GE2,Verizon Fios Business
"TR626 Las Vegas-N, NV",GE1,Cox Business
"TR627 Sanford, FL",GE2,AT&T Internet Services
"TR628 West Kendall, FL",GE2,AT&T Internet
"TR632 Clay, NY",GE1,Spectrum Business
"TR632 Clay, NY",GE2,Verizon Fios Business
"TR638 Richmond, KY",GE1,Spectrum Business
"TR640 Buford, GA",GE1,Spectrum Business
"TR640 Buford, GA",GE2,Verizon Wireless
"TR641 Selden, NY",GE1,Optimum Online
"TR641 Selden, NY",GE2,Verizon Internet Services
"TR642 Florence, SC",GE1,Spectrum Business
"TR643 Uniontown, PA",GE1,Atlantic Broadband
"TR645 Warsaw, IN",GE2,Verizon Wireless
"TR647 Hot Springs, AR",GE1,Cablelynx
"TR647 Hot Springs, AR",GE2,AT&T Internet Services
"TR648 London, KY",GE1,Spectrum Business
"TR649 Jackson, TN",GE1,Spectrum Business
"TR649 Jackson, TN",GE2,Jackson Energy Authority
"TR652 Beckley, WV",GE1,Suddenlink Communications
"TR653 Jonesboro, AR",GE1,Suddenlink Communications
"TR655 Ocala, FL",GE1,Cox Business
"TR655 Ocala, FL",GE2,CenturyLink
"TR656 Hesperia, CA",GE1,Spectrum Business
"TR657 Scottsdale, AZ",GE1,Saddleback Communications
"TR658 Humble-S, TX",GE2,CenturyLink
"TR660 Denham Springs, LA",GE1,AT&T Internet
"TR662 Cookeville, TN",GE1,Spectrum Business
"TR662 Cookeville, TN",GE2,Frontier Communications
"TR663 Richmond-S, VA",GE2,Verizon Fios Business
"TR665 Novi, MI",GE2,AT&T Internet
"TR669 Jefferson City, MO",GE1,Mediacom Cable
"TR684 Rome, GA",GE2,AT&T Internet
"TR685 El Cajon, CA",GE1,Cox Business
"TR685 El Cajon, CA",GE2,AT&T U-verse
"TR686 Northlake, TX",GE1,Spectrum Business
"TR686 Northlake, TX",GE2,AT&T Internet Services
"TR687 Florence, KY",GE1,Spectrum Business
"TR687 Florence, KY",GE2,Cincinnati Bell
"TR688 Weatherford, TX",GE1,Spectrum Business
